bottle,treatment,temp_diff,temp,abs_tdiff
Built,Hot,-1,109,1
Built,Cold,3,48,3
Built,Hot,-9,101,9
Built,Cold,1,46,1
Built,Hot,-9,101,9
Built,Cold,3,48,3
Ctrl,Hot,-28,82,28
Ctrl,Cold,17,62,17
Ctrl,Hot,-36,74,36
Ctrl,Cold,18,63,18
Ctrl,Hot,-35,75,35
Ctrl,Cold,18,63,18
Equate,Hot,-9,101,9
Equate,Cold,3,48,3
Equate,Hot,-12,98,12
Equate,Cold,4,49,4
Equate,Hot,-10,100,10
Equate,Cold,3,48,3
Hydro,Hot,-7,103,7
Hydro,Cold,2,47,2
Hydro,Hot,-8,102,8
Hydro,Cold,2,47,2
Hydro,Hot,-7,103,7
Hydro,Cold,1,46,1
