REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
18476.25,1,2,2,3600,48,50,5,2,1,1,50,13,15,1,2,2,2,6,0,3,1,1,3,2,8,4,3,0,0,1,1,1,2,1,8008,0,0,1,2,1,2,4,3,7,4,1,2,2,2,1,2,52,2,3,2.898961068615139,6,1,1,1,1
25582.5,2,2,2,5700,47,55,5,0,3,1,50,12,18,1,4,2,2,6,2,1,5,1,3,1,0,0,1,0,0,0,1,1,2,1,8008,0,0,3,2,2,3,1,2,1,1,1,3,1,2,2,1,10,2,3,6,6,1,1,3,1
21318.75,1,2,2,540,46,53,1,0,0,1,35,16,12,3,1,2,3,6,2,1,5,1,3,2,8,4,4,1,0,0,1,2,2,1,8008,1,0,4,2,1,3,1,3,2,3,1,1,1,1,2,2,52,2,2,1,2,2,2,2,2
12080.625,2,2,2,5700,47,55,4,0,3,1,25,14,9,2,0,2,1,6,2,1,5,2,3,1,0,0,3,1,0,0,1,0,2,1,8008,1,0,2,3,1,1,2,2,0,2,1,6,2,2,3,3,8,3,3,6,2,2,2,4,3
18476.25,7,2,2,4760,31,18,1,2,4,1,31,13,10,1,0,2,1,6,2,1,1,2,1,2,8,4,2,0,0,0,1,1,2,1,8008,0,0,3,1,2,2,2,2,3,1,2,1,2,2,1,1,0,2,3,2.898961068615139,6,2,1,2,3
38373.75,1,2,2,136,53,73,5,1,2,0,30,18,14,4,1,2,1,3,3,3,1,1,4,1,0,1,1,0,0,0,1,1,2,1,8008,1,0,2,2,2,3,2,2,3,2,1,4,2,2,3,1,52,3,3,2.898961068615139,5,2,1,3,2
68220,1,2,2,5940,17,6,5,2,2,0,36,18,14,3,1,2,1,5,2,2,1,1,3,1,0,2,2,0,0,0,1,2,2,1,8008,0,0,2,2,2,1,2,2,7,1,2,3,2,2,2,2,52,3,3,2,3,2,2,2,2
68220,7,2,2,230,59,80,1,0,0,1,36,18,8,4,0,2,1,6,0,3,5,1,4,2,8,4,3,1,0,0,1,3,2,1,8008,6,0,7,1,1,2,1,1,8,1,1,1,4,3,1,2,0,2,3,1,6,1,1,1,1
38373.75,1,2,2,7700,50,62,1,2,2,1,42,16,16,3,3,1,3,6,2,2,1,1,3,2,8,0,5,1,1,1,1,2,2,1,8008,0,0,6,2,1,2,1,3,7,3,1,2,1,3,2,2,52,2,3,1,6,2,1,2,2
38373.75,7,2,2,5700,47,55,1,2,3,1,43,16,12,3,1,2,1,6,2,1,1,2,3,1,0,0,4,0,1,1,1,1,2,1,8008,5,0,4,2,2,2,2,2,7,1,1,2,1,2,1,1,0,3,3,3,6,2,2,2,3
6395.625,3,2,2,4220,24,15,1,1,6,1,32,12,0,1,0,2,1,3,0,3,1,2,2,2,8,4,3,1,0,0,1,2,1,5,75,3,0,3,1,2,2,2,2,3,1,0,4,2,2,1,2,0,2,3,2.898961068615139,3,2,2,2,2
4263.75,2,2,2,4800,38,36,5,2,0,0,48,17,12,3,1,1,1,4,1,1,3,1,2,1,0,0,1,0,0,0,1,1,1,5,75,6,0,7,1,1,2,1,1,4,1,1,1,1,3,2,2,46,3,3,2,3,1,1,1,1
31267.5,4,2,2,4250,37,33,5,2,4,1,33,10,12,0,1,2,1,4,1,1,3,1,3,1,0,0,4,0,0,0,1,3,1,5,75,3,0,4,1,1,2,1,2,2,2,0,5,1,1,2,2,12,2,3,2.898961068615139,5,1,2,3,3
25582.5,1,2,2,4020,33,24,1,1,8,1,44,10,6,0,0,1,1,3,0,3,1,2,3,2,8,4,6,0,1,1,1,2,2,4,23,2,0,4,2,1,2,2,2,2,1,2,2,2,2,1,1,52,2,3,2,6,2,2,2,2
9238.125,5,1,2,8300,26,12,1,1,1,1,85,13,3,1,0,1,1,4,2,1,1,1,2,2,8,4,2,0,0,0,1,2,2,4,23,2,0,3,1,2,2,2,2,0,1,0,6,2,2,2,2,0,2,3,2.898961068615139,4,2,2,3,3
144502.71714,7,2,2,1230,56,69,1,2,2,1,58,16,3,1,0,2,1,6,0,3,1,1,3,2,8,4,2,0,0,0,1,1,2,4,10,0,0,4,1,1,2,3,3,0,2,1,5,2,2,2,1,0,3,3,3,3,2,2,3,1
79590,1,2,2,5700,47,55,5,0,3,0,26,13,14,1,1,2,1,5,2,2,5,1,4,1,0,1,6,0,0,1,1,6,2,4,10,3,0,2,1,1,3,2,2,0,2,0,6,2,2,3,2,52,2,6,2,1,2,2,4,3
3126.75,7,2,2,4230,25,14,5,1,9,1,23,6,0,0,0,2,1,3,0,3,1,1,2,2,8,4,4,1,0,0,1,2,2,4,61,3,0,5,1,2,1,2,2,5,1,1,2,2,2,1,2,30,2,3,2,6,2,1,1,1
12080.625,1,2,2,9620,25,16,5,1,11,1,32,3,1,0,0,2,1,1,0,3,1,1,1,2,8,4,4,1,0,0,1,2,2,4,61,4,0,6,2,2,2,2,2,0,2,1,4,2,2,1,3,52,2,3,4,6,2,2,3,2
25582.5,1,2,2,4720,28,16,5,0,1,0,20,14,12,1,1,1,2,4,5,3,5,1,3,1,8,4,3,0,0,1,1,3,2,4,61,0,0,4,1,1,3,1,1,7,1,1,1,1,1,1,1,52,2,3,5,6,2,2,2,2
