Set,Name,Theme,Year,Parts,Cost
40558-1,Clone Trooper Command Station,Star Wars,2022,66,14.99
,,,,,Avg: $26.41
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40557-1,Defence of Hoth,Star Wars,2022,64,14.99
,,,,,Avg: $24.24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75342-1,Republic Fighter Tank,Star Wars,2022,262,39.99
,,,,,Avg: $59.56
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75319-1,The Armorer's Mandalorian Forge,Star Wars,2021,258,29.99
,,,,,Avg: $43.59
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75292-1,The Razor Crest,Star Wars,2020,1023,139.99
,,,,,Avg: $202.23
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75338-1,Ambush on Ferrix,Star Wars,2022,679,69.99
,,,,,Avg: $91.05
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75321-1,The Razor Crest Microfighter,Star Wars,2022,98,9.99
,,,,,Avg: $12.73
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75339-1,Death Star Trash Compactor Diorama,Star Wars,2022,802,89.99
,,,,,Avg: $113.38
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75312-1,Boba Fett’s Starship,Star Wars,2021,600,49.99
,,,,,Avg: $62.08
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75337-1,AT-TE Walker,Star Wars,2022,1089,139.99
,,,,,Avg: $171.94
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75333-1,Obi-Wan Kenobi’s Jedi Starfighter,Star Wars,2022,282,29.99
,,,,,Avg: $36.38
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75320-1,Snowtrooper Battle Pack,Star Wars,2022,105,19.99
,,,,,Avg: $23.75
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75314-1,The Bad Batch Attack Shuttle,Star Wars,2021,970,99.99
,,,,,Avg: $118.17
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75325-1,The Mandalorian's N-1 Starfighter,Star Wars,2022,412,59.99
,,,,,Avg: $70.59
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75283-1,Armored Assault Tank (AAT),Star Wars,2020,286,39.99
,,,,,Avg: $45.99
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75311-1,Imperial Armored Marauder,Star Wars,2021,478,39.99
,,,,,Avg: $45.77
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75310-1,Duel on Mandalore,Star Wars,2021,147,19.99
,,,,,Avg: $22.69
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75299-1,Trouble on Tatooine,Star Wars,2021,276,29.99
,,,,,Avg: $33.87
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75301-1,Luke Skywalker's X-Wing Fighter,Star Wars,2021,474,49.99
,,,,,Avg: $56.16
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75336-1,Inquisitor Transport Scythe,Star Wars,2022,924,99.99
,,,,,Avg: $111.56
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75343-1,Dark Trooper Helmet,Star Wars,2022,693,69.99
,,,,,Avg: $77.53
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75290-1,Mos Eisley Cantina,Star Wars,2020,3187,399.99
,,,,,Avg: $438.68
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75334-1,Obi-Wan Kenobi vs. Darth Vader,Star Wars,2022,408,49.99
,,,,,Avg: $54.60
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75322-1,Hoth AT-ST,Star Wars,2022,586,49.99
,,,,,Avg: $53.40
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
