team,place,mascot,gdp
Houston,Texas,Cougars,1815063.6
Alabama,Alabama,CrimsonTide,209979.3
Tennessee,Tennessee,Volunteers,352461.2
UCLA,California,Bruins,2874730.8
Purdue,Indiana,Boilermakers,346240.9
Kansas,Kansas,Jayhawks,162290.9
SaintMarys,California,Gaels,2874730.8
Connecticut,Connecticut,Huskies,246555.9
Gonzaga,Washington,Bulldogs,575129
Texas,Texas,Longhorns,1815063.6
Baylor,Texas,Bears,1815063.6
Arizona,Arizona,Wildcats,347656
Marquette,Wisconsin,GoldenEagles,306467.4
Arkansas,Arkansas,Razorbacks,123347.3
Creighton,Nebraska,Bluejays,122136.1
SanDiegoState,California,Aztecs,2874730.8
KansasState,Kansas,Wildcats,162290.9
FloridaAtlantic,Florida,Owls,1029575.6
Kentucky,Kentucky,Wildcats,197818.3
Maryland,Maryland,Terrapins,368571.1
TCU,Texas,HornedFrogs,1815063.6
Duke,North Carolina,BlueDevils,541933.8
WestVirginia,West Virginia,Mountaineers,71343.2
TexasA&M,Texas,Aggies,1815063.6
Xavier,Ohio,Musketeers,629287
BoiseState,Idaho,Broncos,80093.8
IowaState,Iowa,Cyclones,179753
Indiana,Indiana,Hoosiers,346240.9
Virginia,Virginia,Cavaliers,505351
UtahState,Utah,Aggies,186910
MichiganState,Michigan,Spartans,481778
Rutgers,New Jersey,ScarletKnights,566893.2
Iowa,Iowa,Hawkeyes,179753
Miami,Florida,Hurricanes,1029575.6
Nevada,Nevada,WolfPack,159567.3
Illinois,Illinois,FightingIllini,780060.8
Auburn,Alabama,Tigers,209979.3
Providence,Rhode Island,Friars,54606
Memphis,Tennessee,Tigers,352461.2
Liberty,Virginia,Flames,505351
Northwestern,Illinois,Wildcats,780060.8
NorthCarolinaState,North Carolina,Wolfpack,541933.8
OralRoberts,Oklahoma,GoldenEagles,193230
MississippiState,Mississippi,Bulldogs,104353.5
NorthCarolina,North Carolina,TarHeels,541933.8
SouthernCalifornia,California,Trojans,2874730.8
OklahomaState,Oklahoma,Cowboys,193230
NewMexico,New Mexico,Lobos,93625.1
Missouri,Missouri,Tigers,295687.3
TexasTech,Texas,RedRaiders,1815063.6
