Date,Time,Sqn,TOTAL ABORT?,Target Location,Target Description,Target Type,"Raid=1, Alert=0",Summary Rec (T/F) or Comments,COM-PLETE,Bomb Wgt (LB),A/C Launched,ABORT WX,ABORT MECH,ABORT OTHR,DIVERT WX,DIVRT MECH,DIV DISOR,BOMB-ING,Miss- ing,FL-NO DAMAGE,FL-DAMAGE,Alt. (Feet),Rec #,Air Fight ?,A/C Type,T.O. Time,RTB Time,Bombing Time or Midpoint,Dura- tion (Hrs),Base,Distance From Base (Km),Killed,Woun-ded,Damage (Marks),Damage (Francs),# Bombs,Time Lost (Hours),Other Cost (Marks),Other Cost (Francs),Alternate Location Name,Raid or Alert Length (Hrs),"Page #, Maurer Maurer, v.IV, or other Reference",Comments,Chrono- logical Order
09Aug14,Night,Fr.Dirg.,,Konz-Karthus,Rail Station,R,,"Recon & raid by French dirigible Fleurus-I. Recon to Sarre, Treves, Lux'g. Dropped 4 155mm shells on stn",,378,1,,,,,,,1,,,,,,No,Dirg.,,,,,,240,,,,,4,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,1
09Aug14,,,,Karthaus,,,1,1 of 3 bombs was a dud.  No record or recollection of damage in this raid.  [Were there any earlier bomb raids in WWI?],,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,3,,,,,,435,,2
10Aug14,Night,Fr.Dirg.,,Tetershein,Train,R,,Fr. Dirigible Fleurus I - 3 bombs on train; recon at Sarrebourg and Mohlbach,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,430,,,,,3,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,3
14Aug14,,MF16,,Metz - Frescaty,Zepp sheds,,,Lt. Cesari & Corporal Prudhommeaux made unsuccessful attack - 1st French airplane raid,,,,,,,,,,,,,,,,,MF7,,,,,Verdun,55,,,,,,,,,,,"Martel, 18",,4
20Aug14,,MF16,,Metz - Frescaty,Zepp sheds,,,"One source [didn't record it at the time] says Lt. Finck damaged a Zeppelin on 15 August - according to Martel, p.18, this was 20 August and a fire was started",,,,,,,,,,,,,,,,,MF7,,,,,Verdun,55,,,,,,,,,,,"Martel, 18",,5
20Aug14,,Fr.Dirg.,,Genappe (N of); Louvain,"Bivouacs; ""region of""",T,,"Fr. Dirigible Dupuy-de-Lôme, 6 155mm shells on bivouacs, 3 shells on ""region"" - says daytime raid but probably began after midnight or ended before midnight (assuming latter 3 shells were 155mm)",,792,1,,,,,,,1,,,,,,No,Dirg.,,,,,,240,,,,,9,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,6
21Aug14,Night,Fr.Dirg.,,Petit-Roeulx; Kosseignies,Bivouacs; Rail Stn,O,,"Fr. Dirigible Montgolfier, 3 155mm shells (40kg each) on each target",,568,1,,,,,,,1,,,,,,No,Dirg.,,,,,,186,,,,,6,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,7
22Aug14,Night,Fr.Dirg.,,Luxembourg,Rail Stn,R,,Fr. Dirigible Fleurus I - 4x155mm shells on station,,378,1,,,,,,,1,,,,,,No,Dirg.,,,,,,170,,,,,4,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,8
22Aug14,Night,,,"Hollerich, Lux.",,,1,[THIS RECORD SAYS TIME WAS NOON BUT BOMBING RECORD OF FRENCH DIRIGIBLE IMPLIES IT WAS PROBABLY MIDNIGHT ON 22/23 AUGUST 1914. -SCS]  David Heal puts raid on night of 22/23 AUG 1914 and lists damage as 3185.75 francs. AM CHANGING THIS RECORD FROM THE USAS BOMBING SURVEY INFO OF NOON ON 23 AUG AND 3086 FRANCS DAMAGE. Bombs landed around the rail station and perhaps hit it - the Gendarmerie report is mute on that issue.  Two of them were duds.,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3185.75,4,,,,Hollerick,,"NARA 990; David Heal, Stand To! #91 April/May 2011, p.41",,10
23Aug14,Night,Fr.Dirg.,,Vitremont Forest,Bivouacs,T,,Fr. Dirigible Adj. Vincenot dropped 1 shell,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,190,,,,,1,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,9
01Sep14,Day,Brit.,,Villers-Cotterets (north of…),Cavalry,,,"According to Martel (p.18), 1st British bombing - 2 bombs dropped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martel, 18",,11
22Sep14,Day,RNAS Eastchurch Sqn,,Düsseldorf & Cologne,Army Zepp sheds,,,4 Sopwith Tabloids attempt to reach Army Zepp sheds from Antwerp. 3 turn back due to fog. 1 of 4 Hales bombs dropped by Flt.Lt. Charles Collet hits a shed but doesn't detonate because it was released from too low an altitude to arm itself.,,80,4,3,,,,,,1,,,,Very low,,No,Tabloid,,,,,Antwerp,190,,,,,,,,,,,Al Nugent's records,,12
02Oct14,,Fr.Dirg.,,Heindicourt,"""rassemblements signalés""",T,,Fr. Dirigible Fleurus I - says daytime raid but probably began after or ended before midnight,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,200,,,,,,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,13
03Oct14,,,,Luxembourg City,Apparently Rail Lines,,,"David Heal's article says bombs fell near a rail bridge on the main rail line to Belgium.  Had one hit a nearby gasometer, it could have resulted in severe damage. Article includes a photo of a Berlin newspaper article saying 16 bombs were dropped and 2 people wounded.",,,,,,,,,,,,,,,,,,,,,,,,0,2,,,16,,,,,,"David Heal, Stand To! #91 April/May 2011, pp.42-3",,13.5
07Oct14,Day,F.25,,Étain (NW of…),U/K,,,1st raid by F.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martel, 22",,14
08Oct14,Day,Brit.,,Cologne,City?,,,"""Flight of Avro 504s raided Cologne"" -Avro, The Archive Photographs Series, p.6 [Can't be certain this isn't a garble of the 9 October raid by Tabloids]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
08Oct14,Day,RNAS Eastchurch Sqn,,Düsseldorf,Army Zepp sheds,,,"Marix destroys Z.IX in its shed. Ran out of petrol, force-landed, and returned to Antwerp by bicycle. Ian Gardiner (The Flatpack Bombers) says he dropped 2x20 lb Hales bombs.",,40,1,,,,,,,1,,,,600,,No,Tabloid,,,,,Antwerp,177,,,,,2,,,,,,"Al Nugent's records & Ian Gardiner, ""The Flatpack Bombers"", p.48",,16
08Oct14,Day,RNAS Eastchurch Sqn,,Cologne,Rail station,,,Spencer-Grey could not find Cologne Zepp shed so bombed rail stn. Ian Gardiner (The Flatpack Bombers) says he dropped 2x20 lb Hales bombs.,,40,1,,,,1,,,1,,,,,,No,Tabloid,,,,,Antwerp,190,,,,,2,,,,,,"Al Nugent's records & Ian Gardiner, ""The Flatpack Bombers"", p.48",,17
09Oct14,Night,Fr.Dirg.,,Camp-des-Romains,,,,Fr. Dirigible Adj. Vincenot dropped 5 shells & 1 melinite bomb,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,120,,,,,6,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,18
10Oct14,Day,RNAS Eastchurch Sqn,Yes,Cologne,,,,Gerrard and Grey aborted due to fog,,0,2,2,,,,,,0,,,,,,No,Tabloid,,,,,,,,,,,,,,,,,Al Nugent's records,,19
12Oct14,Night,Fr.Dirg.,,Hendicourt; Chamblay,,,,Fr. Dirigible Fleurus I - 4x95mm shells and 2x22kg bombs on Hendicourt; 4x120mm shells on Chamblay,,363,1,,,,,,,1,,,,,,No,Dirg.,,,,,,170,,,,,10,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,20
16Oct14,,Fr.Dirg.,,Tergnier,Rail Stn,R,,Fr. Dirigible Montgolfier - says daytime raid but probably began after or ended before midnight - 22 shells dropped,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,305,,,,,22,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,21
17Oct14,Night,Fr.Dirg.,,"Sarrebourg, Petit-Eich, Heining",Rail Stns & Trains,R,,Fr. Dirigible Conté - 15 shells on Sarrebourg Stn; 6 shells on Petit-Eich stn; 1 shell on trains; 3 shells on Heining stn,,,1,,,,,,,1,,,,,,No,Dirg.,,,,,,180,,,,,25,,,,,,"Icare, L'aeronautique militaire francaise, tome I, p.142",,22
21Nov14,Day,RNAS Eastchurch Sqn,,Freidrichshafen,Zepp sheds,,,"1 of 4 Avro 504s aborted on takeoff at Belfort when tailskid broke. 11 of 12 20-lb. Hales bombs successfully dropped by other 3 a/c.  Claimed Zepp L7 damaged, along with construction shed and hydrogen-generating facility.  (Probably not.)  Biggs shot down during raid and made POW.",,220,4,,1,,,,,3,1,,,,,No,Avro504,9:45,,,,Belfort,203,,,,,,,,,,,"Al Nugent's records & Ian Gardiner, ""The Flatpack Bombers"", pp.70-79",,23
